kanji,meanings,kun,on,level
裂,"split,rend,tear","さ.く,さ.ける,-ぎ.れ",レツ,n1
敏,"cleverness,agile,alert",さとい,ビン,n1
是,"just so,this,right,justice","これ,この,ここ","ゼ,シ",n1
排,"repudiate,exclude,expel,reject,line up,arrange","これ,この,ここ",ハイ,n1
裕,"abundant,rich,fertile","これ,この,ここ",ユウ,n1
堅,"strict,hard,solid,tough,tight,reliable","かた.い,-がた.い",ケン,n1
芝,"turf,lawn",しば,シ,n1
綱,"hawser,class (genus),rope,cord,cable",つな,コウ,n1
扱,"handle,entertain,thresh,strip","あつか.い,あつか.う,あつか.る,こ.く","ソウ,キュウ",n1
顧,"look back,review,examine oneself,turn around",かえり.みる,コ,n1
訟,"sue,accuse",かえり.みる,ショウ,n1
熟,"mellow,ripen,mature,acquire skill",う.れる,ジュク,n1
戒,commandment,いまし.める,カイ,n1
祉,"welfare,happiness",いまし.める,シ,n1
誉,"reputation,praise,honor,glory","ほま.れ,ほ.める",ヨ,n1
歓,"delight,joy",よろこ.ぶ,カン,n1
勧,"persuade,recommend,advise,encourage,offer",すす.める,"カン,ケン",n1
騒,"boisterous,make noise,clamor,disturb,excite","さわ.ぐ,うれい,さわ.がしい",ソウ,n1
陛,"highness,steps (of throne)","さわ.ぐ,うれい,さわ.がしい",ヘイ,n1
閥,"clique,lineage,pedigree,faction,clan","さわ.ぐ,うれい,さわ.がしい",バツ,n1
甲,"armor,high (voice),A grade,first class,former,instep,carapace",きのえ,"コウ,カン",n1
揺,"swing,shake,sway,rock,tremble,vibrate","ゆ.れる,ゆ.る,ゆ.らぐ,ゆ.るぐ,ゆ.する,ゆ.さぶる,ゆ.すぶる,うご.く",ヨウ,n1
免,"excuse,dismissal","まぬか.れる,まぬが.れる",メン,n1
既,"previously,already,long ago",すで.に,キ,n1
薦,"recommend,mat,advise,encourage,offer",すす.める,セン,n1
隣,neighboring,"とな.る,となり",リン,n1
華,"splendor,flower,petal,shine,luster,ostentatious,showy,gay,gorgeous",はな,"カ,ケ",n1
範,"pattern,example,model",はな,ハン,n1
隠,"conceal,hide,cover","かく.す,かく.し,かく.れる,かか.す,よ.る","イン,オン",n1
哲,"philosophy,clear","さとい,あきらか",テツ,n1
杉,"cedar,cryptomeria",すぎ,サン,n1
釈,explanation,"とく,す.てる,ゆる.す","シャク,セキ",n1
妥,"gentle,peace,depravity","とく,す.てる,ゆる.す",ダ,n1
威,"intimidate,dignity,majesty,menace,threaten","おど.す,おど.し,おど.かす",イ,n1
糖,sugar,"おど.す,おど.し,おど.かす",トウ,n1
豪,"overpowering,great,powerful,excelling,Australia",えら.い,ゴウ,n1
滞,"stagnate,be delayed,overdue,arrears",とどこお.る,"タイ,テイ",n1
微,"delicate,minuteness,insignificance",かす.か,ビ,n1
隆,"hump,high,noble,prosperity",かす.か,リュウ,n1
症,"symptoms,illness",かす.か,ショウ,n1
暫,"temporarily,a while,moment,long time",しばら.く,ザン,n1
肝,"liver,pluck,nerve,chutzpah",きも,カン,n1
喚,"yell,cry,call,scream,summon",わめ.く,カン,n1
妙,"exquisite,strange,queer,mystery,miracle,excellent,delicate,charming",たえ,"ミョウ,ビョウ",n1
索,"cord,rope,searching,inquiring",たえ,サク,n1
智,"wisdom,intellect,reason",たえ,チ,n1
襲,"attack,advance on,succeed to,pile,heap","おそ.う,かさ.ね",シュウ,n1
覧,"perusal,see",み.る,ラン,n1
懇,"sociable,kind,courteous,hospitable,cordial",ねんご.ろ,コン,n1
柄,"design,pattern,build,nature,character,handle,crank,grip,knob,shaft","がら,え,つか",ヘイ,n1
奮,"stirred up,be invigorated,flourish",ふる.う,フン,n1
驚,"wonder,be surprised,frightened,amazed","おどろ.く,おどろ.かす",キョウ,n1
麻,"hemp,flax,numb",あさ,"マ,マア",n1
舌,"tongue,reed,clapper",した,ゼツ,n1
善,"virtuous,good,goodness","よ.い,い.い,よ.く,よし.とする",ゼン,n1
剤,"dose,medicine,drug","かる,けず.る","ザイ,スイ,セイ",n1
瀬,"rapids,current,torrent,shallows,shoal",せ,ライ,n1
趣,"purport,gist,elegance,interest,proceed to,tend,become","おもむき,おもむ.く",シュ,n1
陥,"collapse,fall into,cave in,fall (castle),slide into","おちい.る,おとしい.れる",カン,n1
斎,"purification,Buddhist food,room,worship,avoid,alike","とき,つつし.む,ものいみ,い.む,いわ.う,いつ.く",サイ,n1
貫,"pierce,8 1/3lbs,penetrate,brace","つらぬ.く,ぬ.く,ぬき",カン,n1
仙,"hermit,wizard,cent","つらぬ.く,ぬ.く,ぬき","セン,セント",n1
慰,"consolation,amusement,seduce,cheer,make sport of,comfort,console","なぐさ.める,なぐさ.む",イ,n1
旬,"decameron,ten-day period,season (for specific products)","なぐさ.める,なぐさ.む","ジュン,シュン",n1
兼,"concurrently,and,beforehand,in advance","か.ねる,-か.ねる",ケン,n1
旨,"delicious,relish,show a liking for,purport,will,clever,expert","むね,うま.い",シ,n1
即,"instant,namely,as is,conform,agree,adapt","つ.く,つ.ける,すなわ.ち",ソク,n1
柳,willow,やなぎ,リュウ,n1
偽,"falsehood,lie,deceive,pretend,counterfeit,forgery","いつわ.る,にせ,いつわ.り","ギ,カ",n1
覇,"hegemony,supremacy,leadership,champion",はたがしら,"ハ,ハク",n1
詳,"detailed,full,minute,accurate,well-informed","くわ.しい,つまび.らか",ショウ,n1
抵,"resist,reach,touch","くわ.しい,つまび.らか",テイ,n1
脅,"threaten,coerce","おびや.かす,おど.す,おど.かす",キョウ,n1
后,"empress,queen,after,behind,back,later",きさき,"コウ,ゴ",n1
茂,"overgrown,grow thick,be luxuriant",しげ.る,モ,n1
犠,sacrifice,いけにえ,"ギ,キ",n1
距,"long-distance,spur,fetlock","へだ.たる,けづめ",キョ,n1
